stop_id,average_ons,average_offs,average_load,time_period_id,X,Y,Stop_ID,Stop_Name,lambda_0.5,lambda_0.75
95,1.548245614,0.299122807,20.82105263,time_period_10,-71.089334,42.350773,95,Massachusetts Ave @ Beacon St,0,1
95,1.75308642,0.308641975,22.21234568,time_period_11,-71.089334,42.350773,95,Massachusetts Ave @ Beacon St,1,1
97,0.0625,1.5125,10.0375,time_period_01,-71.093543,42.359183,97,77 Massachusetts Ave,0,0
97,0.128571429,1.6,12,time_period_02,-71.093543,42.359183,97,77 Massachusetts Ave,0,0
97,0.54,4.806666667,21.32,time_period_03,-71.093543,42.359183,97,77 Massachusetts Ave,0,0
97,1.289285714,3,17.825,time_period_04,-71.093543,42.359183,97,77 Massachusetts Ave,0,1
97,1.829411765,1.429411765,23.58235294,time_period_05,-71.093543,42.359183,97,77 Massachusetts Ave,1,1
97,2.11875,1.35,30.05,time_period_06,-71.093543,42.359183,97,77 Massachusetts Ave,1,1
97,1.409090909,0.927272727,18.8,time_period_07,-71.093543,42.359183,97,77 Massachusetts Ave,1,1
97,0.555555556,0.466666667,11.97777778,time_period_08,-71.093543,42.359183,97,77 Massachusetts Ave,0,1
97,0.16,0.1,3.8,time_period_09,-71.093543,42.359183,97,77 Massachusetts Ave,0,1
97,1.237719298,1.573684211,20.49561404,time_period_10,-71.093543,42.359183,97,77 Massachusetts Ave,0,1
97,1.343209877,1.575308642,21.98765432,time_period_11,-71.093543,42.359183,97,77 Massachusetts Ave,0,1
99,0.3125,1.2,9.125,time_period_01,-71.095722,42.360758,99,Massachusetts Ave @ Albany St,0,0
99,0.242857143,2.271428571,9.985714286,time_period_02,-71.095722,42.360758,99,Massachusetts Ave @ Albany St,0,0
99,0.673333333,5.193333333,16.78,time_period_03,-71.095722,42.360758,99,Massachusetts Ave @ Albany St,1,0
99,0.471428571,1.660714286,16.625,time_period_04,-71.095722,42.360758,99,Massachusetts Ave @ Albany St,1,0
99,0.9,1.052941176,23.41764706,time_period_05,-71.095722,42.360758,99,Massachusetts Ave @ Albany St,0,0
99,1.03125,1.36875,29.7375,time_period_06,-71.095722,42.360758,99,Massachusetts Ave @ Albany St,0,0
99,0.654545455,0.886363636,18.53636364,time_period_07,-71.095722,42.360758,99,Massachusetts Ave @ Albany St,0,1
99,0.333333333,0.733333333,11.58888889,time_period_08,-71.095722,42.360758,99,Massachusetts Ave @ Albany St,0,1
99,0.08,0.16,3.76,time_period_09,-71.095722,42.360758,99,Massachusetts Ave @ Albany St,0,1
99,0.526315789,0.989473684,20.00438596,time_period_10,-71.095722,42.360758,99,Massachusetts Ave @ Albany St,0,1
99,0.628395062,1.134567901,21.48641975,time_period_11,-71.095722,42.360758,99,Massachusetts Ave @ Albany St,0,1
101,0.45,1.7,7.9125,time_period_01,-71.099486,42.362988,101,Massachusetts Ave @ Sidney St,0,0
101,0.271428571,1.114285714,9.114285714,time_period_02,-71.099486,42.362988,101,Massachusetts Ave @ Sidney St,0,0
101,0.72,2.186666667,15.29333333,time_period_03,-71.099486,42.362988,101,Massachusetts Ave @ Sidney St,1,0
101,0.567857143,1.578571429,15.625,time_period_04,-71.099486,42.362988,101,Massachusetts Ave @ Sidney St,1,0
101,0.735294118,1.917647059,22.22941176,time_period_05,-71.099486,42.362988,101,Massachusetts Ave @ Sidney St,1,0
101,0.775,2.425,28.09375,time_period_06,-71.099486,42.362988,101,Massachusetts Ave @ Sidney St,1,0
